# t_ms current_uA voltage_uV
1778850183810 206000 4380000
1778850184085 199000 4380000
1778850184352 184000 4380000
1778850184621 168000 4380000
1778850184893 165000 4380000
1778850185159 155000 4380000
1778850185426 160000 4380000
1778850185693 162000 4380000
1778850185960 151000 4375000
1778850186245 155000 4375000
1778850186525 157000 4375000
1778850186805 172000 4381000
1778850187065 171000 4381000
1778850187333 176000 4381000
1778850187612 168000 4381000
1778850187885 163000 4381000
1778850188163 169000 4381000
1778850188434 168000 4381000
1778850188715 166000 4381000
1778850188980 157000 4380000
1778850189249 138000 4380000
1778850189531 156000 4380000
1778850189807 169000 4381000
1778850190087 185000 4381000
1778850190373 180000 4381000
1778850190654 172000 4381000
1778850190927 170000 4375000
1778850191214 172000 4375000
1778850191490 172000 4375000
1778850191772 174000 4381000
1778850192069 179000 4381000
1778850192342 180000 4381000
1778850192632 187000 4381000
1778850192909 180000 4380000
1778850193197 175000 4380000
1778850193470 174000 4380000
1778850193746 174000 4381000
1778850194025 180000 4381000
1778850194312 180000 4381000
1778850194608 173000 4381000
1778850194893 170000 4380000
1778850195196 162000 4380000
1778850195481 161000 4380000
1778850195761 169000 4382000
1778850196060 183000 4382000
1778850196343 176000 4382000
1778850196598 -390000 4382000
1778850196861 -309000 4364000
1778850197139 -371000 4364000
1778850197401 -338000 4364000
1778850197671 -285000 4364000
1778850197940 113000 4373000
1778850198223 137000 4373000
1778850198507 138000 4373000
1778850198782 150000 4380000
1778850199051 151000 4380000
1778850199334 158000 4380000
1778850199617 169000 4380000
1778850199893 179000 4381000
1778850200188 186000 4381000
1778850200472 189000 4381000
1778850200746 189000 4381000
1778850201003 180000 4382000
1778850201283 193000 4382000
1778850201569 197000 4382000
1778850201856 208000 4382000
1778850202123 207000 4382000
1778850202404 191000 4382000
1778850202695 192000 4382000
1778850202967 190000 4381000
1778850203235 190000 4381000
1778850203522 204000 4381000
1778850203797 206000 4381000
1778850204081 195000 4381000
1778850204358 190000 4381000
1778850204648 185000 4381000
1778850204916 186000 4378000
1778850205183 197000 4378000
1778850205449 201000 4378000
1778850205725 197000 4378000
1778850206000 195000 4382000
1778850206270 200000 4382000
1778850206557 205000 4382000
1778850206841 207000 4383000
1778850207125 206000 4383000
1778850207405 195000 4383000
1778850207692 192000 4383000
1778850207969 183000 4378000
1778850208250 184000 4378000
1778850208527 201000 4378000
1778850208787 206000 4383000
1778850209048 193000 4383000
1778850209325 190000 4383000
1778850209627 187000 4383000
1778850209911 190000 4381000
1778850210187 201000 4381000
1778850210471 202000 4381000
1778850210751 203000 4383000
1778850211037 204000 4383000
1778850211336 199000 4383000
1778850211614 198000 4383000
1778850211908 204000 4383000
1778850212198 204000 4383000
1778850212486 201000 4383000
1778850212786 208000 4384000
1778850213097 207000 4384000
1778850213395 212000 4384000
1778850213707 209000 4384000
1778850213992 198000 4383000
1778850214274 196000 4383000
1778850214579 197000 4383000
1778850214903 207000 4383000
1778850215189 209000 4383000
1778850215476 209000 4383000
1778850215774 206000 4383000
1778850216070 208000 4383000
1778850216362 199000 4383000
1778850216642 198000 4383000
1778850216950 195000 4381000
1778850217229 188000 4381000
1778850217528 -823000 4381000
1778850217816 -581000 4366000
1778850218095 -504000 4366000
1778850218384 -458000 4366000
1778850218673 -339000 4366000
1778850218960 -351000 4362000
1778850219248 -351000 4362000
1778850219540 -343000 4362000
1778850219817 -325000 4367000
1778850220091 -319000 4367000
1778850220366 -325000 4367000
1778850220658 -351000 4367000
1778850220925 -347000 4362000
1778850221195 -337000 4362000
1778850221467 -325000 4362000
1778850221753 -286000 4367000
1778850222048 -272000 4367000
1778850222336 -275000 4367000
1778850222620 -279000 4367000
1778850222914 -284000 4364000
1778850223202 -286000 4364000
1778850223482 -286000 4364000
1778850223771 -283000 4367000
1778850224048 -295000 4367000
1778850224336 -294000 4367000
1778850224617 -292000 4367000
1778850224907 -292000 4365000
1778850225187 -282000 4365000
1778850225477 -278000 4365000
1778850225771 -303000 4362000
1778850226051 -304000 4362000
1778850226325 -332000 4362000
1778850226605 -334000 4362000
1778850226888 -314000 4365000
1778850227165 -314000 4365000
1778850227440 -293000 4365000
1778850227715 -303000 4365000
1778850227990 -308000 4366000
1778850228274 -302000 4366000
1778850228555 -294000 4366000
1778850228842 -291000 4365000
1778850229125 -297000 4365000
1778850229415 -304000 4365000
1778850229702 -301000 4365000
1778850229984 -296000 4365000
1778850230262 -277000 4365000
1778850230548 -273000 4365000
1778850230837 -273000 4366000
1778850231124 -287000 4366000
1778850231427 -291000 4366000
1778850231719 -295000 4365000
1778850232014 -278000 4365000
1778850232303 -275000 4365000
1778850232579 -279000 4365000
1778850232877 -279000 4365000
1778850233171 -285000 4365000
1778850233447 -286000 4365000
1778850233733 -281000 4366000
1778850234032 -278000 4366000
1778850234343 -283000 4366000
1778850234636 -284000 4366000
1778850234918 -284000 4359000
1778850235191 -291000 4359000
1778850235448 -399000 4359000
1778850235709 -735000 4359000
1778850235966 -887000 4337000
1778850236238 -1031000 4337000
