# t_ms current_uA voltage_uV
1778849696785 -572000 4380000
1778849697047 -748000 4377000
1778849697325 -752000 4377000
1778849697591 -780000 4377000
1778849697863 -417000 4377000
1778849698117 -362000 4359000
1778849698365 -456000 4359000
1778849698627 -597000 4359000
1778849698872 -871000 4359000
1778849699115 -1119000 4323000
1778849699367 -1226000 4323000
1778849699646 -863000 4323000
1778849699948 -518000 4374000
1778849700249 -332000 4374000
1778849700513 -321000 4374000
1778849700781 -530000 4374000
1778849701056 -567000 4374000
1778849701334 -563000 4374000
1778849701607 -565000 4374000
1778849701884 -443000 4374000
1778849702150 -516000 4371000
1778849702439 -474000 4371000
1778849702706 -404000 4371000
1778849702995 -376000 4376000
1778849703288 -299000 4376000
1778849703569 -286000 4376000
1778849703851 -282000 4376000
1778849704117 -429000 4360000
1778849704387 -426000 4360000
1778849704642 -488000 4360000
1778849704907 -349000 4360000
1778849705180 -391000 4372000
1778849705439 -439000 4372000
1778849705704 -406000 4372000
1778849705982 -455000 4370000
1778849706252 -439000 4370000
1778849706546 -379000 4370000
1778849706856 -322000 4370000
1778849707140 -208000 4374000
1778849707440 -203000 4374000
1778849707726 -203000 4374000
1778849707998 -213000 4372000
1778849708266 -304000 4372000
1778849708527 -413000 4372000
1778849708779 -785000 4372000
1778849709030 -1044000 4356000
1778849709312 -1115000 4356000
1778849709592 -1045000 4356000
1778849709884 -441000 4356000
1778849710151 -427000 4367000
1778849710433 -443000 4367000
1778849710716 -425000 4367000
1778849710993 -455000 4372000
1778849711283 -333000 4372000
1778849711567 -310000 4372000
1778849711858 -311000 4372000
1778849712139 -316000 4372000
1778849712422 -314000 4372000
1778849712704 -306000 4372000
1778849712974 -309000 4372000
1778849713280 -299000 4372000
1778849713540 -369000 4372000
1778849713819 -463000 4372000
1778849714083 -509000 4363000
1778849714365 -558000 4363000
1778849714641 -511000 4363000
1778849714913 -477000 4363000
1778849715205 -385000 4369000
1778849715489 -357000 4369000
1778849715774 -325000 4369000
1778849716043 -378000 4361000
1778849716309 -517000 4361000
1778849716579 -596000 4361000
1778849716831 -716000 4361000
1778849717087 -960000 4322000
1778849717333 -1165000 4322000
1778849717599 -1207000 4322000
1778849717852 -1345000 4322000
1778849718087 -1265000 4313000
1778849718340 -1294000 4313000
1778849718590 -1405000 4313000
1778849718843 -1401000 4313000
1778849719102 -1384000 4359000
1778849719343 -1252000 4359000
1778849719586 -1302000 4359000
1778849719860 -1289000 4359000
1778849720135 -1318000 4337000
1778849720383 -1314000 4337000
1778849720639 -1233000 4337000
1778849720888 -1184000 4337000
1778849721138 -949000 4341000
1778849721410 -711000 4341000
1778849721694 -605000 4341000
1778849721977 -547000 4367000
1778849722229 -513000 4367000
1778849722465 -501000 4367000
1778849722701 -579000 4367000
1778849722938 -622000 4367000
1778849723176 -608000 4353000
1778849723421 -659000 4353000
1778849723692 -588000 4353000
1778849723958 -647000 4343000
1778849724223 -725000 4343000
1778849724485 -874000 4343000
1778849724729 -891000 4343000
1778849725006 -818000 4345000
1778849725302 -698000 4345000
1778849725600 -446000 4345000
1778849725905 -268000 4345000
1778849726194 -214000 4369000
1778849726463 -208000 4369000
1778849726751 -214000 4369000
1778849727011 -215000 4370000
1778849727290 -218000 4370000
1778849727584 -216000 4370000
1778849727874 -200000 4370000
1778849728158 -194000 4368000
1778849728441 -196000 4368000
1778849728735 -196000 4368000
1778849729034 -207000 4370000
1778849729310 -208000 4370000
1778849729597 -211000 4370000
1778849729875 -202000 4370000
1778849730196 -228000 4368000
1778849730462 -223000 4368000
1778849730734 -229000 4368000
1778849731012 -234000 4371000
1778849731300 -202000 4371000
1778849731541 -208000 4371000
1778849731806 -210000 4371000
1778849732094 -210000 4371000
1778849732381 -194000 4371000
1778849732670 -182000 4371000
1778849732981 -180000 4372000
1778849733280 -183000 4372000
1778849733545 -187000 4372000
1778849733808 -190000 4372000
1778849734097 -189000 4372000
1778849734386 -200000 4372000
1778849734672 -221000 4372000
1778849734933 -255000 4365000
1778849735194 -314000 4365000
1778849735456 -312000 4365000
1778849735724 -291000 4365000
1778849736001 -271000 4370000
1778849736289 -214000 4370000
1778849736576 -205000 4370000
1778849736862 -204000 4370000
1778849737134 -187000 4366000
1778849737410 -189000 4366000
1778849737667 -194000 4366000
1778849737922 -203000 4366000
1778849738209 -207000 4371000
1778849738478 -204000 4371000
1778849738779 -203000 4371000
1778849739075 -198000 4372000
1778849739359 -197000 4372000
1778849739659 -186000 4372000
1778849739937 -186000 4372000
1778849740226 -193000 4372000
1778849740496 -198000 4372000
1778849740776 -204000 4372000
1778849741049 -217000 4371000
1778849741340 -209000 4371000
1778849741632 -203000 4371000
1778849741916 -189000 4371000
1778849742184 -188000 4372000
1778849742480 -194000 4372000
1778849742766 -193000 4372000
1778849743039 -194000 4372000
1778849743325 -192000 4372000
1778849743608 -183000 4372000
1778849743903 -183000 4372000
1778849744195 -181000 4372000
1778849744477 -184000 4372000
1778849744743 -194000 4372000
1778849745022 -194000 4373000
1778849745312 -196000 4373000
1778849745599 -191000 4373000
1778849745887 -185000 4373000
1778849746190 -186000 4371000
1778849746496 -186000 4371000
1778849746776 -189000 4371000
1778849747042 -190000 4371000
1778849747329 -190000 4371000
1778849747600 -189000 4371000
1778849747906 -184000 4372000
1778849748205 -182000 4372000
1778849748493 -182000 4372000
1778849748783 -181000 4372000
1778849749059 -186000 4372000
1778849749331 -187000 4372000
1778849749601 -186000 4372000
1778849749899 -190000 4372000
1778849750188 -190000 4371000
1778849750479 -194000 4371000
1778849750748 -204000 4371000
1778849751020 -223000 4372000
1778849751309 -230000 4372000
1778849751615 -210000 4372000
1778849751902 -191000 4372000
1778849752193 -183000 4371000
1778849752496 -185000 4371000
1778849752812 -192000 4371000
1778849753108 -183000 4372000
1778849753405 -179000 4372000
1778849753697 -178000 4372000
1778849753997 -178000 4373000
1778849754256 -183000 4373000
1778849754528 -189000 4373000
1778849754816 -193000 4373000
1778849755069 -193000 4372000
1778849755360 -184000 4372000
1778849755666 -178000 4372000
1778849755940 -179000 4373000
1778849756232 -184000 4373000
1778849756533 -193000 4373000
1778849756846 -201000 4373000
1778849757120 -202000 4367000
1778849757406 -202000 4367000
1778849757678 -202000 4367000
1778849757954 -199000 4373000
1778849758255 -202000 4373000
1778849758542 -204000 4373000
1778849758809 -217000 4373000
1778849759104 -220000 4369000
1778849759406 -216000 4369000
1778849759711 -199000 4369000
1778849760017 -196000 4372000
1778849760302 -199000 4372000
1778849760570 -214000 4372000
1778849760863 -226000 4372000
1778849761156 -215000 4371000
1778849761424 -200000 4371000
1778849761705 -185000 4371000
1778849761974 -189000 4372000
1778849762256 -190000 4372000
1778849762526 -187000 4372000
1778849762786 -215000 4372000
1778849763055 -218000 4371000
1778849763330 -245000 4371000
1778849763607 -217000 4371000
1778849763903 -215000 4371000
1778849764206 -191000 4372000
1778849764480 -190000 4372000
1778849764745 -199000 4372000
1778849765018 -201000 4372000
1778849765316 -205000 4372000
1778849765582 -208000 4372000
1778849765891 -192000 4372000
1778849766178 -172000 4372000
1778849766476 -178000 4372000
1778849766755 -174000 4372000
1778849767034 -198000 4372000
1778849767311 -208000 4372000
