# t_ms current_uA voltage_uV
1778850033542 -290000 4366000
1778850033817 -292000 4366000
1778850034081 -283000 4366000
1778850034340 -291000 4366000
1778850034601 -300000 4366000
1778850034860 -301000 4369000
1778850035146 -303000 4369000
1778850035401 -301000 4369000
1778850035673 -302000 4369000
1778850035950 -305000 4365000
1778850036224 -320000 4365000
1778850036505 -307000 4365000
1778850036773 -301000 4365000
1778850037047 -286000 4367000
1778850037322 -289000 4367000
1778850037592 -298000 4367000
1778850037865 -301000 4368000
1778850038132 -305000 4368000
1778850038411 -313000 4368000
1778850038685 -316000 4368000
1778850038972 -331000 4368000
1778850039245 -304000 4368000
1778850039522 -307000 4368000
1778850039789 -289000 4368000
1778850040085 -282000 4367000
1778850040374 -285000 4367000
1778850040668 -269000 4367000
1778850040964 -267000 4367000
1778850041251 -259000 4367000
1778850041548 -260000 4367000
1778850041843 -257000 4368000
1778850042124 -263000 4368000
1778850042411 -266000 4368000
1778850042684 -270000 4368000
1778850042958 -270000 4368000
1778850043258 -272000 4368000
1778850043553 -270000 4368000
1778850043859 -269000 4367000
1778850044156 -267000 4367000
1778850044459 -264000 4367000
1778850044770 -279000 4367000
1778850045067 -282000 4365000
1778850045344 -313000 4365000
1778850045619 -321000 4365000
1778850045918 -302000 4367000
1778850046204 -302000 4367000
1778850046498 -267000 4367000
1778850046765 -278000 4367000
1778850047056 -279000 4365000
1778850047356 -283000 4365000
1778850047650 -289000 4365000
1778850047951 -279000 4367000
1778850048256 -265000 4367000
1778850048567 -262000 4367000
1778850048865 -260000 4366000
1778850049138 -265000 4366000
1778850049440 -268000 4366000
1778850049732 -261000 4366000
1778850050036 -255000 4365000
1778850050330 -254000 4365000
1778850050618 -255000 4365000
1778850050917 -262000 4367000
1778850051206 -268000 4367000
1778850051515 -261000 4367000
1778850051817 -258000 4365000
1778850052117 -259000 4365000
1778850052401 -284000 4365000
1778850052672 -317000 4365000
1778850052952 -341000 4363000
1778850053228 -355000 4363000
1778850053503 -333000 4363000
1778850053786 -323000 4363000
1778850054066 -324000 4364000
1778850054351 -323000 4364000
1778850054629 -327000 4364000
1778850054906 -326000 4365000
1778850055179 -316000 4365000
1778850055465 -317000 4365000
1778850055750 -296000 4365000
1778850056040 -288000 4364000
1778850056315 -276000 4364000
1778850056590 -267000 4364000
1778850056886 -265000 4366000
1778850057171 -264000 4366000
1778850057458 -264000 4366000
1778850057724 -266000 4366000
1778850058027 -258000 4364000
1778850058296 -257000 4364000
1778850058588 -267000 4364000
1778850058868 -272000 4366000
1778850059152 -274000 4366000
1778850059419 -274000 4366000
1778850059715 -269000 4366000
1778850059994 -263000 4362000
1778850060288 -261000 4362000
1778850060562 -256000 4362000
1778850060859 -258000 4366000
1778850061134 -263000 4366000
1778850061421 -264000 4366000
1778850061714 -263000 4366000
1778850061999 -257000 4361000
1778850062273 -256000 4361000
1778850062541 -257000 4361000
1778850062809 -261000 4365000
1778850063096 -265000 4365000
1778850063386 -267000 4365000
1778850063673 -266000 4365000
1778850063956 -273000 4365000
1778850064237 -269000 4365000
1778850064535 -267000 4365000
1778850064809 -257000 4365000
1778850065102 -259000 4365000
1778850065403 -260000 4365000
1778850065691 -263000 4365000
1778850065993 -256000 4363000
1778850066302 -257000 4363000
1778850066584 -255000 4363000
1778850066882 -252000 4365000
1778850067156 -260000 4365000
1778850067456 -261000 4365000
1778850067765 -251000 4365000
1778850068047 -255000 4365000
1778850068343 -256000 4365000
1778850068621 -263000 4365000
1778850068916 -273000 4365000
1778850069206 -267000 4365000
1778850069499 -258000 4365000
1778850069783 -255000 4365000
1778850070072 -257000 4364000
1778850070385 -257000 4364000
1778850070689 -258000 4364000
1778850070996 -252000 4363000
1778850071282 -271000 4363000
1778850071555 -279000 4363000
1778850071830 -280000 4365000
1778850072127 -288000 4365000
1778850072424 -281000 4365000
1778850072721 -274000 4365000
1778850073011 -263000 4361000
1778850073294 -252000 4361000
1778850073590 -252000 4361000
1778850073890 -255000 4364000
1778850074164 -260000 4364000
1778850074469 -253000 4364000
1778850074756 -253000 4364000
1778850075043 -250000 4364000
1778850075314 -253000 4364000
1778850075598 -260000 4364000
1778850075894 -259000 4365000
1778850076180 -260000 4365000
1778850076463 -263000 4365000
1778850076753 -257000 4365000
1778850077035 -259000 4364000
1778850077333 -253000 4364000
1778850077634 -258000 4364000
1778850077924 -259000 4365000
1778850078202 -256000 4365000
1778850078490 -258000 4365000
1778850078773 -259000 4365000
1778850079070 -262000 4364000
1778850079374 -263000 4364000
1778850079670 -259000 4364000
1778850079959 -259000 4363000
1778850080246 -251000 4363000
1778850080545 -261000 4363000
1778850080845 -260000 4365000
1778850081128 -265000 4365000
1778850081421 -268000 4365000
1778850081721 -253000 4365000
1778850082003 -250000 4362000
1778850082290 -257000 4362000
1778850082595 -256000 4362000
1778850082884 -263000 4365000
1778850083188 -263000 4365000
1778850083462 -258000 4365000
1778850083753 -251000 4365000
1778850084024 -255000 4362000
1778850084308 -255000 4362000
1778850084591 -263000 4362000
1778850084910 -271000 4365000
1778850085205 -296000 4365000
1778850085503 -320000 4365000
1778850085792 -317000 4364000
1778850086102 -292000 4364000
1778850086420 -291000 4364000
1778850086694 -263000 4364000
1778850086961 -390000 4349000
1778850087236 -675000 4349000
1778850087492 -784000 4349000
1778850087769 -712000 4349000
1778850088037 -630000 4362000
