# t_ms current_uA voltage_uV
1778850111140 -265000 4367000
1778850111408 -269000 4367000
1778850111678 -278000 4367000
1778850111958 -287000 4364000
1778850112217 -300000 4364000
1778850112476 -300000 4364000
1778850112754 -298000 4364000
1778850113020 -297000 4365000
1778850113300 -298000 4365000
1778850113578 -299000 4365000
1778850113846 -301000 4366000
1778850114130 -290000 4366000
1778850114405 -296000 4366000
1778850114688 -295000 4366000
1778850114970 -297000 4358000
1778850115244 -295000 4358000
1778850115517 -296000 4358000
1778850115795 -296000 4365000
1778850116077 -279000 4365000
1778850116353 -278000 4365000
1778850116623 -277000 4365000
1778850116912 -286000 4364000
1778850117194 -292000 4364000
1778850117476 -298000 4364000
1778850117764 -298000 4364000
1778850118054 -287000 4364000
1778850118335 -275000 4364000
1778850118618 -296000 4364000
1778850118914 -292000 4365000
1778850119207 -293000 4365000
1778850119498 -291000 4365000
1778850119796 -271000 4362000
1778850120095 -270000 4362000
1778850120398 -269000 4362000
1778850120692 -263000 4362000
1778850120989 -260000 4363000
1778850121284 -259000 4363000
1778850121567 -270000 4363000
1778850121861 -272000 4364000
1778850122165 -272000 4364000
1778850122458 -265000 4364000
1778850122745 -260000 4364000
1778850123041 -258000 4365000
1778850123333 -253000 4365000
1778850123634 -253000 4365000
1778850123888 -280000 4360000
1778850124178 -308000 4360000
1778850124467 -311000 4360000
1778850124765 -311000 4365000
1778850125071 -254000 4365000
1778850125360 -253000 4365000
1778850125653 -261000 4365000
1778850125961 -261000 4363000
1778850126252 -264000 4363000
1778850126555 -255000 4363000
1778850126856 -256000 4365000
1778850127166 -257000 4365000
1778850127458 -258000 4365000
1778850127764 -259000 4365000
1778850128069 -253000 4365000
1778850128366 -251000 4365000
1778850128647 -254000 4365000
1778850128933 -255000 4364000
1778850129237 -260000 4364000
1778850129534 -264000 4364000
1778850129826 -276000 4363000
1778850130110 -278000 4363000
1778850130394 -291000 4363000
1778850130683 -295000 4363000
1778850130964 -280000 4360000
1778850131247 -278000 4360000
1778850131558 -253000 4360000
1778850131843 -253000 4365000
1778850132139 -254000 4365000
1778850132431 -257000 4365000
1778850132735 -264000 4365000
1778850133037 -263000 4365000
1778850133333 -254000 4365000
1778850133623 -254000 4365000
1778850133918 -255000 4364000
1778850134232 -263000 4364000
1778850134548 -262000 4364000
1778850134839 -259000 4365000
1778850135140 -253000 4365000
1778850135437 -257000 4365000
1778850135717 -261000 4365000
1778850136017 -265000 4363000
1778850136292 -256000 4363000
1778850136581 -256000 4363000
1778850136897 -254000 4364000
1778850137168 -257000 4364000
1778850137459 -266000 4364000
1778850137744 -265000 4364000
1778850138017 -268000 4364000
1778850138306 -266000 4364000
1778850138592 -267000 4364000
1778850138881 -267000 4363000
1778850139184 -265000 4363000
1778850139456 -265000 4363000
1778850139745 -264000 4363000
1778850140020 -264000 4365000
1778850140325 -259000 4365000
1778850140615 -264000 4365000
1778850140886 -292000 4361000
1778850141169 -320000 4361000
1778850141453 -334000 4361000
1778850141728 -345000 4361000
1778850142024 -332000 4361000
1778850142318 -333000 4361000
1778850142608 -333000 4361000
1778850142892 -331000 4362000
1778850143175 -331000 4362000
1778850143468 -313000 4362000
1778850143763 -306000 4363000
1778850144050 -286000 4363000
1778850144334 -273000 4363000
1778850144618 -266000 4363000
1778850144895 -257000 4364000
1778850145180 -260000 4364000
1778850145462 -262000 4364000
1778850145752 -268000 4364000
1778850146052 -261000 4364000
1778850146361 -261000 4364000
1778850146645 -264000 4364000
1778850146931 -268000 4362000
1778850147209 -275000 4362000
1778850147487 -277000 4362000
1778850147763 -266000 4362000
1778850148033 -266000 4364000
1778850148332 -256000 4364000
1778850148616 -257000 4364000
1778850148907 -255000 4364000
1778850149190 -260000 4364000
1778850149461 -264000 4364000
1778850149764 -263000 4364000
1778850150060 -256000 4364000
1778850150354 -256000 4364000
1778850150631 -270000 4364000
1778850150921 -273000 4363000
1778850151196 -282000 4363000
1778850151479 -281000 4363000
1778850151768 -267000 4363000
1778850152068 -255000 4363000
1778850152339 -255000 4363000
1778850152607 -258000 4363000
1778850152888 -261000 4364000
1778850153176 -265000 4364000
1778850153465 -262000 4364000
1778850153733 -261000 4364000
1778850154010 -305000 4361000
1778850154289 -519000 4361000
1778850154583 -664000 4361000
1778850154891 -619000 4363000
1778850155194 -409000 4363000
1778850155476 -270000 4363000
1778850155766 -276000 4362000
1778850156076 -267000 4362000
1778850156361 -260000 4362000
1778850156636 -256000 4362000
1778850156923 -265000 4360000
1778850157208 -270000 4360000
1778850157500 -269000 4360000
1778850157801 -262000 4363000
1778850158078 -261000 4363000
1778850158377 -269000 4363000
1778850158667 -269000 4363000
1778850158941 -273000 4360000
1778850159222 -275000 4360000
1778850159499 -273000 4360000
1778850159780 -271000 4363000
1778850160055 -264000 4363000
1778850160366 -259000 4363000
1778850160668 -260000 4363000
1778850160966 -262000 4359000
1778850161249 -267000 4359000
1778850161527 -263000 4359000
1778850161794 -523000 4343000
1778850162058 -735000 4343000
1778850162330 -834000 4343000
1778850162594 -783000 4343000
