# t_ms current_uA voltage_uV
1778850322083 -281000 4362000
1778850322360 -319000 4362000
1778850322622 -350000 4362000
1778850322893 -361000 4354000
1778850323165 -365000 4354000
1778850323439 -339000 4354000
1778850323708 -314000 4362000
1778850323985 -295000 4362000
1778850324267 -300000 4362000
1778850324551 -305000 4362000
1778850324821 -319000 4361000
1778850325100 -326000 4361000
1778850325374 -317000 4361000
1778850325653 -310000 4361000
1778850325934 -303000 4360000
1778850326207 -292000 4360000
1778850326491 -286000 4360000
1778850326763 -287000 4361000
1778850327035 -286000 4361000
1778850327316 -292000 4361000
1778850327581 -302000 4361000
1778850327864 -303000 4359000
1778850328144 -307000 4359000
1778850328430 -311000 4359000
1778850328720 -292000 4362000
1778850329012 -283000 4362000
1778850329302 -281000 4362000
1778850329578 -297000 4362000
1778850329870 -305000 4357000
1778850330147 -309000 4357000
1778850330430 -310000 4357000
1778850330704 -302000 4361000
1778850330989 -295000 4361000
1778850331276 -293000 4361000
1778850331556 -305000 4361000
1778850331841 -313000 4360000
1778850332126 -318000 4360000
1778850332399 -318000 4360000
1778850332683 -336000 4360000
1778850332955 -337000 4361000
1778850333234 -328000 4361000
1778850333530 -301000 4361000
1778850333819 -299000 4361000
1778850334105 -309000 4361000
1778850334382 -314000 4361000
1778850334665 -325000 4361000
1778850334942 -336000 4359000
1778850335212 -319000 4359000
1778850335501 -297000 4359000
1778850335786 -287000 4359000
1778850336070 -290000 4359000
1778850336369 -290000 4359000
1778850336679 -290000 4361000
1778850336978 -270000 4361000
1778850337249 -273000 4361000
1778850337558 -274000 4361000
1778850337840 -280000 4359000
1778850338124 -287000 4359000
1778850338406 -284000 4359000
1778850338704 -284000 4360000
1778850338990 -289000 4360000
1778850339287 -287000 4360000
1778850339591 -286000 4360000
1778850339888 -292000 4358000
1778850340178 -282000 4358000
1778850340455 -277000 4358000
1778850340739 -274000 4361000
1778850341023 -281000 4361000
1778850341309 -283000 4361000
1778850341599 -280000 4361000
1778850341902 -283000 4358000
1778850342191 -280000 4358000
1778850342478 -271000 4358000
1778850342766 -270000 4361000
1778850343061 -277000 4361000
1778850343330 -284000 4361000
1778850343614 -299000 4361000
1778850343906 -300000 4359000
1778850344207 -284000 4359000
1778850344511 -275000 4359000
1778850344806 -282000 4359000
1778850345103 -284000 4359000
1778850345386 -298000 4359000
1778850345668 -296000 4361000
1778850345973 -280000 4361000
1778850346274 -272000 4361000
1778850346558 -280000 4361000
1778850346859 -283000 4358000
1778850347135 -294000 4358000
1778850347419 -302000 4358000
1778850347718 -285000 4360000
1778850348015 -276000 4360000
1778850348304 -272000 4360000
1778850348579 -277000 4360000
1778850348880 -280000 4358000
1778850349167 -283000 4358000
1778850349469 -267000 4358000
1778850349780 -273000 4360000
1778850350066 -269000 4360000
1778850350351 -276000 4360000
1778850350631 -291000 4360000
1778850350916 -291000 4359000
1778850351219 -285000 4359000
1778850351511 -273000 4359000
1778850351811 -269000 4361000
1778850352091 -268000 4361000
1778850352371 -281000 4361000
1778850352669 -288000 4361000
1778850352957 -281000 4361000
1778850353248 -273000 4361000
1778850353550 -268000 4361000
1778850353851 -270000 4360000
1778850354145 -274000 4360000
1778850354471 -280000 4360000
1778850354761 -284000 4360000
1778850355039 -287000 4360000
1778850355323 -289000 4360000
1778850355619 -287000 4360000
1778850355914 -284000 4359000
1778850356211 -280000 4359000
1778850356500 -276000 4359000
1778850356799 -274000 4360000
1778850357097 -271000 4360000
1778850357389 -273000 4360000
1778850357665 -275000 4356000
1778850357954 -280000 4356000
1778850358257 -282000 4356000
1778850358569 -280000 4356000
1778850358862 -272000 4358000
1778850359156 -276000 4358000
1778850359448 -268000 4358000
1778850359747 -276000 4359000
1778850360031 -276000 4359000
1778850360340 -279000 4359000
1778850360626 -285000 4359000
1778850360929 -279000 4359000
1778850361218 -268000 4359000
1778850361508 -268000 4359000
1778850361806 -273000 4361000
1778850362103 -280000 4361000
1778850362400 -287000 4361000
1778850362708 -274000 4361000
1778850362994 -270000 4361000
1778850363302 -266000 4361000
1778850363601 -267000 4361000
1778850363887 -275000 4359000
1778850364165 -284000 4359000
1778850364460 -280000 4359000
1778850364763 -285000 4360000
1778850365063 -277000 4360000
1778850365377 -276000 4360000
1778850365651 -283000 4360000
1778850365942 -283000 4357000
1778850366240 -284000 4357000
1778850366537 -284000 4357000
1778850366819 -274000 4359000
1778850367109 -278000 4359000
1778850367389 -277000 4359000
1778850367680 -275000 4360000
1778850367982 -271000 4360000
1778850368274 -272000 4360000
1778850368568 -275000 4360000
1778850368867 -275000 4357000
1778850369164 -281000 4357000
1778850369455 -278000 4357000
1778850369764 -280000 4359000
1778850370050 -283000 4359000
1778850370341 -287000 4359000
1778850370640 -290000 4359000
1778850370934 -286000 4359000
1778850371230 -283000 4359000
1778850371538 -275000 4359000
1778850371822 -278000 4358000
1778850372122 -288000 4358000
1778850372421 -289000 4358000
1778850372723 -274000 4360000
1778850373028 -266000 4360000
1778850373334 -267000 4360000
1778850373630 -271000 4360000
1778850373915 -275000 4359000
1778850374186 -265000 4359000
1778850374455 -515000 4359000
1778850374722 -721000 4342000
1778850374989 -842000 4342000
1778850375268 -757000 4342000
1778850375526 -696000 4342000
1778850375796 -545000 4354000
1778850376062 -459000 4354000
