# t_ms current_uA voltage_uV
1778849861982 -236000 4371000
1778849862261 -233000 4371000
1778849862543 -252000 4371000
1778849862806 -279000 4371000
1778849863062 -284000 4367000
1778849863318 -259000 4367000
1778849863578 -223000 4367000
1778849863855 -220000 4367000
1778849864127 -220000 4371000
1778849864420 -224000 4371000
1778849864671 -235000 4371000
1778849864933 -317000 4362000
1778849865199 -510000 4362000
1778849865478 -560000 4362000
1778849865766 -550000 4362000
1778849866021 -480000 4370000
1778849866299 -288000 4370000
1778849866551 -399000 4370000
1778849866815 -421000 4370000
1778849867069 -444000 4366000
1778849867347 -292000 4366000
1778849867629 -293000 4366000
1778849867927 -242000 4371000
1778849868204 -239000 4371000
1778849868464 -219000 4371000
1778849868761 -195000 4371000
1778849869028 -196000 4370000
1778849869324 -200000 4370000
1778849869609 -194000 4370000
1778849869877 -195000 4371000
1778849870170 -200000 4371000
1778849870441 -203000 4371000
1778849870700 -204000 4371000
1778849870975 -205000 4370000
1778849871234 -211000 4370000
1778849871503 -305000 4370000
1778849871754 -490000 4370000
1778849872011 -555000 4366000
1778849872268 -548000 4366000
1778849872558 -262000 4366000
1778849872844 -194000 4366000
1778849873119 -187000 4370000
1778849873403 -236000 4370000
1778849873691 -291000 4370000
1778849873965 -293000 4370000
1778849874227 -300000 4370000
1778849874524 -249000 4370000
1778849874810 -196000 4370000
1778849875094 -203000 4368000
1778849875369 -313000 4368000
1778849875660 -318000 4368000
1778849875946 -322000 4369000
1778849876252 -305000 4369000
1778849876549 -200000 4369000
1778849876812 -191000 4369000
1778849877101 -225000 4361000
1778849877388 -228000 4361000
1778849877661 -230000 4361000
1778849877930 -230000 4370000
1778849878216 -196000 4370000
1778849878522 -208000 4370000
1778849878794 -206000 4370000
1778849879084 -257000 4366000
1778849879359 -246000 4366000
1778849879660 -250000 4366000
1778849879933 -256000 4371000
1778849880194 -218000 4371000
1778849880477 -212000 4371000
1778849880745 -204000 4371000
1778849881036 -204000 4369000
1778849881322 -182000 4369000
1778849881612 -182000 4369000
1778849881876 -181000 4370000
1778849882172 -183000 4370000
1778849882440 -188000 4370000
1778849882724 -192000 4370000
1778849883006 -190000 4370000
1778849883291 -190000 4370000
